Epoch 00000 , Loss 4.4159 , Test Acc 0.2223 , Time(s) nan
Epoch 00001 , Loss 3.4994 , Test Acc 0.3256 , Time(s) nan
Epoch 00002 , Loss 3.3589 , Test Acc 0.3814 , Time(s) nan
Epoch 00003 , Loss 3.2134 , Test Acc 0.4211 , Time(s) 1.5134
Epoch 00004 , Loss 3.0890 , Test Acc 0.4150 , Time(s) 1.5601
Epoch 00005 , Loss 2.9699 , Test Acc 0.4294 , Time(s) 1.5939
Epoch 00006 , Loss 2.8724 , Test Acc 0.4284 , Time(s) 1.5733
Epoch 00007 , Loss 2.7680 , Test Acc 0.4375 , Time(s) 1.5661
Epoch 00008 , Loss 2.6725 , Test Acc 0.4473 , Time(s) 1.5828
Epoch 00009 , Loss 2.5987 , Test Acc 0.4463 , Time(s) 1.5713
