Epoch 00000 , Loss 4.4325 , Test Acc 0.2132 , Time(s) nan
Epoch 00001 , Loss 3.5266 , Test Acc 0.3039 , Time(s) nan
Epoch 00002 , Loss 3.4363 , Test Acc 0.3882 , Time(s) nan
Epoch 00003 , Loss 3.2361 , Test Acc 0.3991 , Time(s) 1.5179
Epoch 00004 , Loss 3.1385 , Test Acc 0.4249 , Time(s) 1.5756
Epoch 00005 , Loss 3.0258 , Test Acc 0.4211 , Time(s) 1.5849
Epoch 00006 , Loss 2.9340 , Test Acc 0.4274 , Time(s) 1.5750
Epoch 00007 , Loss 2.8426 , Test Acc 0.4271 , Time(s) 1.5734
Epoch 00008 , Loss 2.7317 , Test Acc 0.4337 , Time(s) 1.5741
Epoch 00009 , Loss 2.6415 , Test Acc 0.4362 , Time(s) 1.5840
